Station,Address,Community,Total Population,Population Density,Median Age,Property Crime Per Capita,Total Property Crime,Violent Crime Per Capita,Total Violent Crime,Median Income,Diversity Index,Household Size,Homeowner Ratio
1,2230 Pasadena Avenue,Lincoln Heights,26616,10602,27,104.3,309,32.7,97,30579,0.436,3.6,0.241
2,1962 East Cesar Chavez Avenue,Boyle Heights,92756,14229,25,107.4,1066,36.6,363,33235,0.115,3.8,0.241
3,108 North Fremont Avenue,Downtown,27849,4770,39,126.1,2615,43.8,908,15003,0.743,1.6,0.066
4,450 East Temple Street,Downtown,27849,4770,39,126.1,2615,43.8,908,15003,0.743,1.6,0.066
5,8900 South Emerson Avenue,Westchester,41500,3839,35,263.2,1132,24.4,105,77473,0.66,2.3,0.518
6,326 North Virgil Avenue,East Hollywood,73967,31095,31,115.6,904,33.6,263,29927,0.578,3,0.087
7,14630 Plummer Street,Panorama City,65766,18028,25,120.3,838,28,195,44468,0.479,3.6,0.36
8,11351 Tampa Avenue,Porter Ranch,24923,4462,41,70.7,216,6.2,19,121428,0.551,3,0.918
9,430 East 7th Street,Downtown,27849,4770,39,126.1,2615,43.8,908,15003,0.743,1.6,0.066
10,1335 South Olive Street,Downtown,27849,4770,39,126.1,2615,43.8,908,15003,0.743,1.6,0.066
11,1819 West 7th Street,Westlake,103839,38214,27,101.5,1195,42,495,26757,0.43,3,0.051
12,5921 North Figueroa Street,Highland Park,57566,16835,28,67.1,408,16.6,101,45478,0.449,3.3,0.391
13,2401 West Pico Boulevard,Koreatown,115070,42611,30,115.3,1433,32.4,403,30558,0.602,2.7,0.07
14,3401 South Central Avenue,Historic South-Central,49728,19474,23,152.2,799,60.4,317,30882,0.229,4.1,0.204
15,915 West Jefferson Boulevard,Studio City,34034,5395,38,200.5,746,16.7,62,75657,0.378,1.9,0.441
16,2011 North Eastern Avenue,El Sereno,40954,9826,28,76.1,333,12.8,56,45866,0.325,3.5,0.481
17,1601 South Santa Fe Avenue,Downtown,27849,4770,39,126.1,2615,43.8,908,15003,0.743,1.6,0.066
18,12050 Balboa Boulevard,Granada Hills,50535,3344,37,132.8,717,12.2,66,83911,0.62,2.9,0.736
19,12229 West Sunset Boulevard,Brentwood,31344,2059,39,133,443,7.2,24,112927,0.283,2,0.516
20,2144 West Sunset Boulevard,Echo Park,40455,16868,30,123.2,540,20.1,88,37708,0.538,3,0.24
21,1192 East 51st Street,Central-Alameda,40947,18760,22,119.4,521,55.2,241,31559,0.267,4.3,0.298
23,17281 Sunset Boulevard,Pacific Palisades,23940,1048,43,87.8,224,3.9,10,168008,0.21,2.4,0.825
24,9411 Wentworth Street,Shadow Hills,13098,1023,39,120.3,172,12.6,18,82796,0.562,2.8,0.777
25,2927 Whittier Boulevard,Boyle Heights,92756,14229,25,107.4,1066,36.6,363,33235,0.115,3.8,0.241
26,2009 South Western Avenue,West Adams,21764,14686,28,106.3,243,60.4,138,38209,0.541,3.1,0.372
27,1327 North Cole Avenue,Hollywood,77818,22193,31,197.6,1689,55.3,473,33694,0.644,2.1,0.076
28,11641 Corbin Avenue,Porter Ranch,24923,4462,41,70.7,216,6.2,19,121428,0.551,3,0.918
29,4029 West Wilshire Boulevard,Hancock Park,9804,6459,37,200.5,214,24.4,26,85277,0.473,2.1,0.473
33,6406 South Main Street,Florence,43815,15661,23,168.2,784,95,443,29447,0.434,3.8,0.348
34,3661 7th Avenue,Jefferson Park,23130,16300,31,114.5,278,53.5,130,32654,0.577,2.8,0.305
35,1601 North Hillhurst Avenue,Los Feliz,35238,13512,36,147.3,544,18.4,68,50793,0.61,2,0.245
36,1005 North Gaffey Street,San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
37,1090 Veteran Avenue,Westwood,47916,13036,27,70.3,366,6.5,34,68716,0.543,2,0.359
38,"124 East I"" Street""""24 East """"""""",Wilmington,51517,5636,24,115.9,632,33.2,181,40627,0.245,3.8,0.385
39,14415 Sylvan Street,Van Nuys,103770,11542,28,133.8,1482,27.6,306,41134,0.571,3,0.261
40,330 Ferry Street,San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
41,1439 North Gardner Street,Hollywood,77818,22193,31,197.6,1689,55.3,473,33694,0.644,2.1,0.076
42,2021 Colorado Boulevard,Eagle Rock,32493,7644,35,101.8,351,10.2,35,67253,0.69,2.8,0.561
43,3690 Motor Avenue,Palms,42545,21870,31,95.4,434,16.7,76,50684,0.739,2,0.131
44,1410 Cypress Avenue,Cypress Park,9764,13478,27,117.9,128,37.8,41,42615,0.311,3.7,0.417
46,4370 South Hoover Street,Vermont Square,45284,17798,26,145.5,692,82.2,391,29904,0.527,3.4,0.368
47,4575 Huntington Drive South,El Sereno,40954,9826,28,76.1,333,12.8,56,45866,0.325,3.5,0.481
48,1601 South Grand Avenue,San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
49,"400 Yacht Street, Berth 194",Wilmington,51517,5636,24,115.9,632,33.2,181,40627,0.245,3.8,0.385
50,3036 Fletcher Drive,Glassell Park,23467,8524,30,69.7,173,19.3,48,50098,0.513,3.3,0.438
51,10435 Sepulveda Boulevard,Mission Hills,18237,5721,34,131.2,255,19.5,38,75675,0.615,3.4,0.784
52,4957 Melrose Avenue,Hollywood,77818,22193,31,197.6,1689,55.3,473,33694,0.644,2.1,0.076
55,4455 East York Boulevard,Eagle Rock,32493,7644,35,101.8,351,10.2,35,67253,0.69,2.8,0.561
56,2759 Rowena Avenue,Silver Lake,30972,11266,35,158.1,520,11.9,39,54339,0.676,2.3,0.357
57,7800 South Vermont Avenue,Vermont Knolls,20616,18057,24,190.1,410,136.3,294,27730,0.521,3.3,0.279
58,1556 South Robertson Boulevard,Pico-Robertson,18019,17468,36,116.9,225,11.4,22,63356,0.442,2.1,0.269
59,11505 Olympic Boulevard,West Los Angeles,12659,12061,38,170.8,232,20.6,28,86403,0.393,1.9,0.49
60,5320 Tujunga Avenue,North Hollywood,77848,13264,30,147.2,1284,23.2,202,42791,0.586,2.8,0.246
61,5821 West 3rd Street,Fairfax,12490,10122,33,285.9,382,44.9,60,65938,0.277,2,0.285
62,11970 Venice Avenue,Mar Vista,35492,12259,35,85.7,321,7.7,29,62611,0.634,2.3,0.394
63,1930 Shell Avenue,Venice,37705,11891,35,164.4,672,31.1,127,67647,0.534,1.9,0.312
64,10811 South Main Street,Broadway-Manchester,23471,15060,23,161.6,417,106.2,274,29897,0.502,3.7,0.369
65,1801 East Century Boulevard,Watts,36815,17346,21,140.6,577,88.7,364,25161,0.482,4,0.33
66,1909 West Slauson Boulevard,Chesterfield Square,6062,9571,31,361.9,231,188,120,37737,0.52,3,0.506
67,5451 Playa Vista Drive,Playa Vista,2416,1859,37,226.3,136,11.6,7,68597,0.722,2.4,0.548
68,5023 Washington Boulevard,Mid-City,52197,15051,31,107.4,591,30.2,166,43711,0.637,2.8,0.311
69,15045 Sunset Boulevard,Pacific Palisades,23940,1048,43,87.8,224,3.9,10,168008,0.21,2.4,0.825
70,9861 Reseda Bouelvard,Northridge,57561,6080,32,191.6,1188,26,161,67906,0.661,2.7,0.536
71,107 South Beverly Glen Boulevard,Westwood,47916,13036,27,70.3,366,6.5,34,68716,0.543,2,0.359
72,6811 De Soto Avenue,Canoga Park,53227,12240,30,177.1,1073,29.4,178,51601,0.632,3,0.364
73,7419 Reseda Boulevard,Reseda,62174,10600,32,105.6,703,24.3,162,54771,0.656,3,0.523
74,7777 Foothill Boulevard,Tujunga,26527,2649,36,75.9,215,7.8,22,58001,0.557,2.7,0.55
75,15345 San Fernando Mission,Mission Hills,18237,5721,34,131.2,255,19.5,38,75675,0.615,3.4,0.784
76,3111 North Cahuenga Boulevard,Hollywood Hills,21588,3063,37,160.5,369,17,39,69277,0.433,1.8,0.435
77,9224 Sunland Boulevard,Sun Valley,75848,8048,28,97.9,801,21,172,51290,0.479,3.7,0.539
78,4041 Whitsett Avenue,Studio City,34034,5395,38,200.5,746,16.7,62,75657,0.378,1.9,0.441
79,18030 South Vermont Avenue,Harbor Gateway,39688,7720,27,143.6,603,31.4,132,47849,0.648,3.3,0.403
80,7250 World Way,Westchester,41500,3839,35,263.2,1132,24.4,105,77473,0.66,2.3,0.518
81,14355 Arminta Street,Panorama City,65766,18028,25,120.3,838,28,195,44468,0.479,3.6,0.36
82,5769 Hollywood Boulevard,Hollywood,77818,22193,31,197.6,1689,55.3,473,33694,0.644,2.1,0.076
83,4960 Balboa Boulevard,Encino,41905,4411,42,122.7,547,5.6,25,78529,0.346,2.3,0.616
84,21050 Burbank Boulevard,Woodland Hills,59661,4040,40,181.8,1153,17.2,109,89946,0.374,2.3,0.631
85,1331 West 253rd Street,Harbor City,23561,9127,30,76,198,27.6,72,55454,0.674,2.9,0.456
86,4305 Vineland Avenue,Toluca Lake,7782,6393,37,183.4,157,15.2,13,73111,0.457,1.9,0.378
87,10124 Balboa Boulevard,Granada Hills,50535,3344,37,132.8,717,12.2,66,83911,0.62,2.9,0.736
88,5101 North Sepulveda Boulevard,Sherman Oaks,61166,6687,37,171.9,1125,14.1,92,69651,0.434,2,0.411
89,7063 Laurel Canyon Boulevard,North Hollywood,77848,13264,30,147.2,1284,23.2,202,42791,0.586,2.8,0.246
90,7921 Woodley Avenue,Van Nuys,103770,11542,28,133.8,1482,27.6,306,41134,0.571,3,0.261
91,14430 Polk Street,Sylmar,69499,5579,28,98.1,781,18.2,145,65783,0.466,3.6,0.708
92,10556 West Pico Boulevard,Century City,5513,7869,46,22.1,107,1.2,6,95135,0.309,1.8,0.604
93,19059 Ventura Boulevard,Tarzana,35502,4038,38,159.1,601,16.4,62,73195,0.471,2.5,0.587
94,4470 Coliseum Street,Baldwin Hills/Crenshaw,30123,10446,36,224.7,722,73.4,236,37948,0.457,2.3,0.309
95,10010 International Road,Westchester,41500,3839,35,263.2,1132,24.4,105,77473,0.66,2.3,0.518
96,21800 Marilla Street,Chatsworth,35073,2301,40,154.2,572,18.9,70,84456,0.527,2.6,0.711
97,8021 Mulholland Drive,Studio City,34034,5395,38,200.5,746,16.7,62,75657,0.378,1.9,0.441
98,13035 Van Nuys Boulevard,Pacoima,75014,10510,24,78.2,636,19.8,161,49066,0.259,4.3,0.565
99,14145 Mulholland Drive,Sherman Oaks,61166,6687,37,171.9,1125,14.1,92,69651,0.434,2,0.411
100,6751 Louise Avenue,Lake Balboa,24238,7754,35,127.1,333,15.7,41,65336,0.632,2.7,0.659
101,1414 W 25th Street,San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
102,13200 Burbank Boulevard,Sherman Oaks,61166,6687,37,171.9,1125,14.1,92,69651,0.434,2,0.411
103,18143 Parthenia Street,Northridge,57561,6080,32,191.6,1188,26,161,67906,0.661,2.7,0.536
104,8349 Winnetka Avenue,Winnetka,46943,9826,32,111.3,610,24.6,135,62535,0.678,3.1,0.517
105,6345 Fallbrook Avenue,Woodland Hills,59661,4040,40,181.8,1153,17.2,109,89946,0.374,2.3,0.631
106,23004 Roscoe Boulevard,West Hills,38814,4551,39,98.7,409,14,58,103008,0.47,2.9,0.874
107,20225 Devonshire Street,Chatsworth,35073,2301,40,154.2,572,18.9,70,84456,0.527,2.6,0.711
108,12520 Mulholland Drive,Beverly Crest,10852,1318,45,74.3,86,4.3,5,169282,0.23,2.4,0.9
109,16500 Mulholland Drive,Brentwood,31344,2059,39,133,443,7.2,24,112927,0.283,2,0.516
110,"2945 Miner Street, Berth 44-A",San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
111,"954 South Seaside Avenue, Berth 260",San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
112,"444 South Harbor Boulevard, Berth 86",San Pedro,80065,6640,34,103.8,893,22.8,196,57508,0.63,2.5,0.439
114,16617 Arminta Street,Van Nuys,103770,11542,28,133.8,1482,27.6,306,41134,0.571,3,0.261
